2025-06-27 00:00:00,110 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.1105650Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:00,121 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.1214180Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:00,295 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.2953370Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:00,302 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.3020740Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:00,475 [13] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.4752160Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:00,477 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.4774870Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:00,689 [13] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.6892760Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:00,730 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.7307570Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:00,875 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.8757420Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:00,885 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:00.8858650Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:01,078 [13] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.0782690Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:01,088 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.0885180Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:01,279 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.2793920Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:01,281 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.2814620Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:01,471 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.4718610Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:01,481 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.4810150Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:01,689 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.6895320Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:01,692 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.6921650Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:01,892 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.8928430Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:01,896 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:01.8960960Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:02,453 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:02.4535640Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:02,465 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:02.4651490Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:02,785 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:02.7857380Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:02,792 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:02.7928870Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:03,018 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.0181680Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:03,022 [13] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.0222480Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:03,202 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.2026170Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:03,208 [13] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.2083930Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:03,475 [13] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.4753690Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:03,486 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.4862430Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:03,731 [13] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.7316190Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:03,739 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.7398280Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:03,925 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.9259830Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:03,933 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:03.9332490Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:04,132 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.1328760Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:04,136 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.1369650Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:04,332 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.3323070Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:04,340 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.3400690Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:04,544 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.5443490Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:04,548 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.5481090Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:04,752 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.7526560Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:04,756 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.7563530Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:04,981 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.9818360Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:04,988 [7] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:04.9883290Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:05,177 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.1778940Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:05,181 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.1811480Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:05,377 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.3770460Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:05,380 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.3806240Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:05,584 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.5843960Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:05,590 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.5906850Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:05,783 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.7833080Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:05,786 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.7867110Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:05,989 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.9891570Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
